The Internet,Hive Mind,Feel Good,,,,,,,,,,,,,,
The Lemon Twigs,Do Hollywood,,,,,,,,,,,,,,,
The Microphones,Mount Eerie,"The Glow, Pt. 2",,,,,,,,,,,,,,
The Mountain Goats,We Shall All Be Healed,The Sunset Tree,,,,,,,,,,,,,,
The National,Sleep Well Beast,Trouble Will Find Me,Boxer,I Am Easy To Find,,,,,,,,,,,,
The Night Game,The Night Game,,,,,,,,,,,,,,,
The Notorious B.I.G.,Life After Death,Ready To Die,,,,,,,,,,,,,,
The Olivia Tremor Control,Dusk At Cubist Castle,,,,,,,,,,,,,,,
The Ramones,The Ramones,,,,,,,,,,,,,,,
The Rolling Stones,Exile On Main Street,Sticky Fingers,Some Girls,Let it Bleed,,,,,,,,,,,,
The Roots,Do You Want More?!!!??!,Things Fall Apart,How I Got Over,,,,,,,,,,,,,
The Sex Pistols,"Never Mind The Bollocks, Here's The Sex Pistols",,,,,,,,,,,,,,,
The Smashing Pumpkins,Siamese Dream,,,,,,,,,,,,,,,
The Smiths,The Smiths,The Queen Is Dead,Meat Is Murder,,,,,,,,,,,,,
The Stone Roses,The Stone Roses,,,,,,,,,,,,,,,
The Strokes,Is This It,,,,,,,,,,,,,,,
The Struts,Everybody Wants,YOUNG&DANGEROUS,,,,,,,,,,,,,,
The Turtles,It Aint Me Babe,Happy Together,,,,,,,,,,,,,,
The Unicorns,Who Will Cut Our Hair When We're Gone?,,,,,,,,,,,,,,,
The Velvet Underground,The Velvet Underground & Nico,Loaded,The Velvet Underground,,,,,,,,,,,,,
The Weeknd,Starboy,,,,,,,,,,,,,,,
The White Stripes,De Stijl,Elephant,,,,,,,,,,,,,,
Thelonius Monk,Monk's Music,,,,,,,,,,,,,,,
Third Eye Blind,Third Eye Blind,Blue,Out of the Vein,Ursa Major,Dopamine,We Are Drugs,Thanks For Everything,Screamer,,,,,,,,
Thom Yorke,Anima,,,,,,,,,,,,,,,
Thundercat,Drunk,,,,,,,,,,,,,,,
Tierra Whack,Whack World,,,,,,,,,,,,,,,
Tokyo Police Club,Champ,,,,,,,,,,,,,,,
Tom Petty,Full Moon Fever,,,,,,,,,,,,,,,
Tom Waits,Rain Dogs,Swordfishtrombones,,,,,,,,,,,,,,
Tool,Lateralus,,,,,,,,,,,,,,,
Tourist,Wild,,,,,,,,,,,,,,,
Travis Scott,Astroworld,,,,,,,,,,,,,,,
Tropical Fuck Storm,Braindrops,A Laughing Death In Meatspace,,,,,,,,,,,,,,
Twenty One Pilots,Vessel,Blurryface,Twenty One Pilots,Trench,Scaled And Icy,,,,,,,,,,,
Tyler The Creator,Flower Boy,Cherry Bomb,,,,,,,,,,,,,,
U2,The Joshua Tree,Songs Of Innocence,Achtung Baby,War,,,,,,,,,,,,
Unknown Mortal Orchestra,Multi-Love,,,,,,,,,,,,,,,
Unwound,Leaves Turn Inside You,,,,,,,,,,,,,,,
Vampire Weekend,Vampire Weekend,Father Of The Bride,,,,,,,,,,,,,,
Van Halen,Van Halen,,,,,,,,,,,,,,,
Van Morrison,Astral Weeks,,,,,,,,,,,,,,,
Various Artists,"Japanese Ambient, Environmental & New Age Music",,,,,,,,,,,,,,,
Vertical Horizon,Everything You Want,,,,,,,,,,,,,,,
Viet Cong,Viet Cong,,,,,,,,,,,,,,,
Vince Staples,Big Fish Theory,Summertime '06,FM!,,,,,,,,,,,,,
Walk The Moon,Walk The Moon,,,,,,,,,,,,,,,
Ween,The Mollusk,,,,,,,,,,,,,,,
Weezer,Blue Album,White Album,Green Album,Pinkerton,Pacific Daydream,Teal Album,Black Album,OK Human,,,,,,,,
Wes Montgomery,Full House,Incredible Jazz Guitar,,,,,,,,,,,,,,
Weyes Blood,Titanic Rising,,,,,,,,,,,,,,,
Whethan,Fantasy,,,,,,,,,,,,,,,
The Who,Tommy,Who's Next,Who Are You,,,,,,,,,,,,,
Wilco,Yankee Hotel Foxtrot,Ode To Joy,,,,,,,,,,,,,,
William Basinski,Disintegration Tapes,,,,,,,,,,,,,,,
William Tyler,Modern Country,Goes West,,,,,,,,,,,,,,
Willie Nile,Willie Nile,,,,,,,,,,,,,,,
Wilson Pickett,The Exciting Wilson Pickett,,,,,,,,,,,,,,,
Wu-Tang Clan,Enter The Wu-Tang Clan: 36 Chambers,,,,,,,,,,,,,,,
Wynton Marsalis,In Gabriel's Garden,,,,,,,,,,,,,,,
Xiu Xiu,Girl With A Basket Of Fruit,,,,,,,,,,,,,,,
Yellowcard,Yellowcard,,,,,,,,,,,,,,,
Yes,The Yes Album,Close To The Edge,Fragile,,,,,,,,,,,,,
Young Thug,So Much Fun,,,,,,,,,,,,,,,
Yo La Tengo,I Can Hear The Heart Beating As One,And Then Nothing Turned Itself Inside Out,Electr-O-Pura,We Have Amnesia Sometimes,,,,,,,,,,,,
Yves Tumor,Heaven To A Tortured Mind,,,,,,,,,,,,,,,
The Zombies,Odessey And Oracle,,,,,,,,,,,,,,,
